2023-12-18 10:21:01,838 - DEBUG - Starting debug log
2023-12-18 10:21:01,963 - DEBUG - $$$$$$$$$$ PREPARING $$$$$$$$$$
2023-12-18 10:21:03,369 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,382 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,388 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,388 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,388 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,396 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,401 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,401 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,401 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,407 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,411 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,412 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,412 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,423 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,428 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,428 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,428 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,437 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,441 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,441 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,441 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,452 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,457 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,457 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,457 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,464 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,469 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,469 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,469 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,482 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,487 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,487 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,487 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,495 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,500 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,500 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,500 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,514 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,518 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,519 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,519 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,527 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,532 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,532 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,532 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,541 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,545 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,545 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,545 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,554 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,559 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,559 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,559 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,567 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,572 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,572 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,572 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,597 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,602 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,602 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,602 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,610 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,615 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,615 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,615 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,629 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,634 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,634 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,634 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,645 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,649 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,650 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,650 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,663 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,668 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,668 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,668 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,684 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,689 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,689 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,689 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,698 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,703 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,703 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,703 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,719 - WARNING - <http://value.org/type> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,719 - WARNING - <http://value.org/application> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,719 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,725 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,725 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,731 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,731 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,732 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,737 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,742 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,742 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,743 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,750 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,755 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,755 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,755 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,768 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,768 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,774 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,774 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,774 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,780 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,785 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,785 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,785 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,796 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,800 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,800 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,800 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,808 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,808 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,815 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,815 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,815 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,821 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,825 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,825 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,825 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,836 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,836 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,842 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,842 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,842 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,849 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,854 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,854 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,854 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,859 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,864 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,864 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,864 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,877 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,877 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,883 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,883 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,883 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,889 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,893 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,893 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,894 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,902 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,902 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,907 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,908 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,908 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,913 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,918 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,918 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,918 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,926 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,931 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,931 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,931 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,941 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,942 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,948 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,948 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,948 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,954 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,959 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,959 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,959 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,967 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,972 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,972 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,972 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,985 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,985 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,991 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,991 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,991 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,997 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,002 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,002 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,002 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,018 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,018 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,024 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,024 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,024 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,031 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,036 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,036 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,036 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,044 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,044 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,051 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,051 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,051 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,057 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,061 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,061 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,061 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,072 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,076 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,077 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,077 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,085 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,085 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,091 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,091 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,091 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,097 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,103 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,103 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,103 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,111 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,111 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,117 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,117 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,117 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,123 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,127 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,127 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,127 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,143 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,144 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,150 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,150 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,150 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,156 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,161 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,161 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,161 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,169 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,169 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,176 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,176 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,176 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,182 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,187 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,187 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,187 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,196 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,200 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,200 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,200 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,215 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,215 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,221 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:04,221 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
