2024-04-23 12:26:32,596 - DEBUG - Starting debug log
2024-04-23 12:26:33,788 - DEBUG - $$$$$$$$$$ PREPARATION STARTED $$$$$$$$$$
2024-04-23 12:26:34,541 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,541 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,541 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,549 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,554 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,554 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,554 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,563 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,576 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,576 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,576 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,587 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,592 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,592 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,592 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,607 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,615 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,615 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,615 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,626 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,639 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,639 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,640 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,656 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,661 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,661 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,661 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,670 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,675 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,675 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,675 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,684 - WARNING - <http://value.org/type> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,684 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,684 - WARNING - <http://value.org/rule> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,684 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,693 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,696 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,696 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,696 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,702 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,705 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,706 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,706 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,711 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,714 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,714 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,714 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,721 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,724 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,724 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,724 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,729 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,733 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,733 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,733 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,739 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,742 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,742 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,742 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,748 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,751 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,751 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,751 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,757 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,760 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,760 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,760 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,767 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,770 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,770 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,770 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,776 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,779 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,779 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,779 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,785 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,788 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,788 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,788 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,794 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,797 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,797 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,797 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,802 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,806 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,806 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,806 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,812 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,815 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,815 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,815 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,821 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,824 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,824 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,824 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,830 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,833 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,833 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,833 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,838 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,841 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,842 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,842 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,847 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,851 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,851 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,851 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,857 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,860 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,860 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,860 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,866 - WARNING - <http://value.org/type> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,866 - WARNING - <http://value.org/function> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,866 - WARNING - <http://value.org/rule> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,866 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,873 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,876 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,876 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,876 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,882 - WARNING - <http://value.org/type> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,882 - WARNING - <http://value.org/application> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,882 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,891 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,891 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,907 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,907 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,907 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,914 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,914 - WARNING - <http://value.org/function> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,914 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,921 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,921 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,930 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,931 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,931 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,938 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,938 - WARNING - <http://value.org/function> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,938 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,945 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,945 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,955 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,955 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,955 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,962 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,962 - WARNING - <http://value.org/function> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,962 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,969 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,969 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,979 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,979 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,979 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,986 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,986 - WARNING - <http://value.org/function> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,986 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,993 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,993 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,001 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,001 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,001 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,008 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,008 - WARNING - <http://value.org/function> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,008 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,015 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,015 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,022 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,022 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,022 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,029 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,029 - WARNING - <http://value.org/function> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,029 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,036 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,036 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,044 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,044 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,044 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,051 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,051 - WARNING - <http://value.org/function> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,051 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,058 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,059 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,068 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,069 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,069 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,075 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,076 - WARNING - <http://value.org/function> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,076 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,082 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,082 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,089 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,090 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,090 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,097 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,097 - WARNING - <http://value.org/function> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,097 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,104 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,104 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,111 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,111 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,111 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,118 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,119 - WARNING - <http://value.org/function> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,119 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,126 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,126 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,133 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,133 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,133 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,141 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,141 - WARNING - <http://value.org/function> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,141 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,148 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,148 - WARNING - <http://value.org/program> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,155 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,155 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,155 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,163 - WARNING - <http://value.org/use> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,163 - WARNING - <http://value.org/function> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,163 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:35,170 - WARNING - <http://value.org/pattern> does not look like a valid URI, trying to serialize this will break.
